PercentageAA
25.8
3.0
4.7
15.1
5.7
4.1
10.8
22.1
15.1
31.0
1.6
0.9
14.1
9.6
4.1
5.7
8.0
31.4
1.9
29.5
7.0
13.7
7.0
36.6
11.4
0.5
4.9
9.8
1.5
13.1
2.2
14.8
20.5
3.9
12.5
7.3
2.0
10.9
5.7
25.0
2.0
15.8
12.2
1.2
1.4
18.6
4.0
3.7
6.4
0.9
