AffordableHousingShortage
73075
11489
136032
51507
962667
113110
86717
19915
384743
193726
24721
22287
268089
126952
65926
44042
77701
102785
19031
131793
156028
204728
94390
42952
122075
17697
30926
84320
22974
205285
30154
609225
190910
16313
252027
71172
98949
261060
21678
87369
11029
116172
594194
45421
9613
148720
157461
24460
119057
7479


