GunLawRanking
31
41
42
50
1
13
3
12
24
28
4
48
8
26
30
45
42
34
29
7
5
18
17
45
47
40
20
16
27
2
19
6
21
39
25
37
15
14
9
32
44
37
36
33
22
11
10
34
22
49
