ViolentCrimeRate
837.8
778.3
672.7
671.9
654.8
639.4
542.7
530.7
501.4
478.0
469.8
460.3
458.6
453.6
446.5
442.0
431.9
425.9
425.0
423.1
419.3
400.1
399.9
389.5
383.6
363.8
357.7
355.9
334.1
329.0
323.4
308.8
303.5
293.7
291.9
291.2
277.5
260.7
259.1
254.2
242.6
234.2
230.8
208.0
195.4
181.6
173.4
164.5
146.4
108.6
