GDPPerCapita
46479
63502
49648
47235
70192
63776
78609
56097
55675
51780
58655
48759
62930
51926
53478
56099
47339
50874
54211
66799
78458
53259
62005
42129
51697
53361
57570
53720
67097
73460
46338
74472
50305
61530
53641
49878
56312
61700
60825
48021
59281
51046
55129
52204
59187
61958
67126
44994
55593
61855




