SpendingPerStudent
10077
18394
8625
10388
14035
11030
21310
16315
9645
11228
16132
7985
16227
10397
11907
11926
11291
11755
14614
15148
17748
12756
13387
9284
11200
11988
12743
9344
17462
20512
10177
25139
9857
14004
13538
9323
12450
16864
16750
11140
10139
9868
9827
8014
20315
12641
14223
12010
12598
16304
